"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Menz Mama Midir",0.495,0,0,0,0,0,0,0,NA
"Merahbete",0.491,0,0,0,0,0,0,0,NA
"Mereb Leke",0.047,0,0,0,0,0,0,0,NA
"Merti",0.347,0,0,0,0,0,0,0,NA
"Mesela",0.325,0,0,0,0,0,0,0,NA
"Meskan",0.323,0,0,0,0,0,0,0,NA
"Meta",0.336,0,0,0,0,0,0,0,NA
"Meta Robi",0.406,0,0,0,0,0,0,0,NA
"Metema",0.416,0,0,0,0,0,0,0,NA
"Metu Zuria",0.298,15684,14032,17419,3387,15284,16088,804,4.21
"Meyu",0.318,0,0,0,0,0,0,0,NA
"Meyumuluka",0.336,0,0,0,0,0,0,0,NA
"Michakel",0.351,0,0,0,0,0,0,0,NA
"Mida Kegn",0.367,0,0,0,0,0,0,0,NA
"Midega Tola",0.344,0,0,0,0,0,0,0,NA
"Mierab Azenet Berbere",0.289,0,0,0,0,0,0,0,NA
"Mierab Badawacho",0.274,0,0,0,0,0,0,0,NA
"Mieso",0.388,0,0,0,0,0,0,0,NA
"Miesso",0.432,0,0,0,0,0,0,0,NA
"Mile",0.352,0,0,0,0,0,0,0,NA
"Mimo Weremo",0.497,0,0,0,0,0,0,0,NA
"Minjar Shenkora",0.415,0,0,0,0,0,0,0,NA
"Mirab Abaya",0.334,6834,6039,7579,1540,6668,7001,333,4.62
"Mirab Armacho",0.445,0,0,0,0,0,0,0,NA
"Misha",0.329,2586,2268,2905,637,2528,2645,118,5.4
"Misrak Azenet Berbere",0.298,0,0,0,0,0,0,0,NA
"Misrak Badawacho",0.273,0,0,0,0,0,0,0,NA
"Miyo",0.966,15508,12956,16025,3069,14609,15915,1306,2.35
"Mojan Wedera",0.484,0,0,0,0,0,0,0,NA
"Moretna Jiru",0.505,0,0,0,0,0,0,0,NA
"Moyale",0.951,29512,25076,30297,5221,28057,30143,2086,2.5
"Muhur Na Aklil",0.343,0,0,0,0,0,0,0,NA
"Mulo",0.439,0,0,0,0,0,0,0,NA
"Munessa",0.254,0,0,0,0,0,0,0,NA
"Mustahil",0.414,0,0,0,0,0,0,0,NA
"Naeder Adet",0.087,0,0,0,0,0,0,0,NA
"Nefas Silk",0.299,0,0,0,0,0,0,0,NA
"Nejo",0.293,10130,9021,11297,2276,9890,10372,482,4.72
"Nenesebo",0.241,2628,2112,3242,1130,2426,2838,412,2.74
"Nole Kaba",0.297,8476,7565,9391,1826,8303,8652,349,5.23
"Nono",0.366,607,529,682,153,593,622,28,5.46
"Nunu Kumba",0.331,3071,2744,3381,637,3017,3126,109,5.84
"Odo Shakiso",0.353,14211,11590,17302,5712,13122,15329,2207,2.59
"Ofa",0.32,24931,21885,28046,6161,24380,25487,1107,5.57
"Ofla",0.242,0,0,0,0,0,0,0,NA
"Omo Nada",0.341,47532,42128,52425,10297,46484,48587,2103,4.9
"Pawe Special",0.302,0,0,0,0,0,0,0,NA
"Quara",0.447,284,222,349,127,253,315,62,2.05
"Quarit",0.324,0,0,0,0,0,0,0,NA
"Raya Azebo",0.148,0,0,0,0,0,0,0,NA
"Rayitu",0.244,0,0,0,0,0,0,0,NA
"Robe",0.253,0,0,0,0,0,0,0,NA
"Saba Boru",0.609,2536,1635,3180,1545,2217,2810,593,2.61
"Saesie Tsaedaemba",0.024,0,0,0,0,0,0,0,NA
"Saharti Samre",0.134,0,0,0,0,0,0,0,NA
"Sahla",0.334,0,0,0,0,0,0,0,NA
"Sale Nono",0.292,2218,1906,2528,622,2146,2292,146,4.26
"Sankura",0.294,0,0,0,0,0,0,0,NA
"Sasiga",0.319,5409,4795,6034,1239,5299,5519,221,5.61
"Sayilem",0.302,0,0,0,0,0,0,0,NA
"Sayint",0.473,0,0,0,0,0,0,0,NA
"Sayo",0.293,23142,20401,26081,5680,22493,23800,1308,4.34
"Sayo Nole",0.302,1215,1084,1348,264,1195,1235,40,6.6
"Seden Sodo",0.372,0,0,0,0,0,0,0,NA
"Segeg",0.334,0,0,0,0,0,0,0,NA
"Seka Chekorsa",0.305,13467,11427,15672,4245,13089,13850,761,5.58
"Sekela",0.298,0,0,0,0,0,0,0,NA
"Sekoru",0.346,33786,29173,38965,9792,32502,35084,2583,3.79
"Sekota",0.315,0,0,0,0,0,0,0,NA
"Selahad",0.295,0,0,0,0,0,0,0,NA
"Selamgo",0.397,42539,37779,47656,9877,41020,44066,3045,3.24
"Selti",0.311,0,0,0,0,0,0,0,NA
"Semen Achefer",0.255,0,0,0,0,0,0,0,NA
"Semen Bench",0.281,22020,18245,26277,8032,21299,22753,1454,5.52
"Senan",0.367,0,0,0,0,0,0,0,NA
"Serer/Elkere",0.334,0,0,0,0,0,0,0,NA
"Seru",0.279,0,0,0,0,0,0,0,NA
"Setema",0.317,0,0,0,0,0,0,0,NA
"Seweyna",0.263,0,0,0,0,0,0,0,NA
"Shalla",0.308,0,0,0,0,0,0,0,NA
"Shashemene Zuria",0.254,0,0,0,0,0,0,0,NA
"Shashogo",0.29,0,0,0,0,0,0,0,NA
"Shay Bench",0.299,17521,15197,20157,4959,17024,18023,999,4.96
"Shebe Dino",0.217,0,0,0,0,0,0,0,NA
"Shebe Sambo",0.328,20633,18474,22917,4443,20192,21077,885,5.02
"Shebel Bereta",0.456,0,0,0,0,0,0,0,NA
"Sheka",0.308,5282,4671,5929,1258,5119,5448,329,3.82
"Shekosh",0.371,0,0,0,0,0,0,0,NA
"Sherkole",0.614,1989,1784,2218,434,1934,2044,110,3.95
"Shilabo",0.394,0,0,0,0,0,0,0,NA
"Shinile",0.412,0,0,0,0,0,0,0,NA
"Shirka",0.255,0,0,0,0,0,0,0,NA
"Sibu Sire",0.307,10943,9802,12175,2373,10696,11191,495,4.79
"Sigmo",0.305,0,0,0,0,0,0,0,NA
"Simada",0.4,0,0,0,0,0,0,0,NA
"Simurobi Gele'alo",0.52,0,0,0,0,0,0,0,NA
"Sinana",0.202,0,0,0,0,0,0,0,NA
"Siraro",0.287,16049,13962,17979,4017,15498,16610,1112,3.61
"Sirba Abay",0.481,4124,3697,4582,885,4011,4238,227,3.9
"Sire",0.314,0,0,0,0,0,0,0,NA
"Siya Debirna Wayu",0.472,0,0,0,0,0,0,0,NA
"Sodo",0.345,0,0,0,0,0,0,0,NA
"Sodo Daci",0.375,0,0,0,0,0,0,0,NA
"Sodo Zuria",0.298,14325,12190,16591,4401,13941,14713,772,5.7
"Soro",0.35,22448,19657,25377,5720,21633,23280,1648,3.47
"Sude",0.279,0,0,0,0,0,0,0,NA
"Sululta",0.431,0,0,0,0,0,0,0,NA
"Surma",0.724,30749,25138,35071,9933,28994,32365,3371,2.95
"Tach Armacho",0.344,0,0,0,0,0,0,0,NA
"Tach Gayint",0.406,0,0,0,0,0,0,0,NA
"Tahtay Adiyabo",0.029,0,0,0,0,0,0,0,NA
"Tahtay Koraro",0.042,0,0,0,0,0,0,0,NA
"Tahtay Maychew",0.062,0,0,0,0,0,0,0,NA
"Takusa",0.327,4330,3605,5166,1561,4123,4541,418,3.73
"Tanqua Abergele",0.147,0,0,0,0,0,0,0,NA
"Tarema Ber",0.478,0,0,0,0,0,0,0,NA
"Telalak",0.561,0,0,0,0,0,0,0,NA
"Teltele",0.67,31385,24890,37465,12575,28075,34291,6216,2.02
"Tembaro",0.367,30607,26499,34981,8482,29543,31682,2139,3.97
"Tena",0.248,0,0,0,0,0,0,0,NA
"Tenta",0.484,0,0,0,0,0,0,0,NA
"Teru",0.125,0,0,0,0,0,0,0,NA
"Thehulederie",0.488,0,0,0,0,0,0,0,NA
"Tikur Enchini",0.359,0,0,0,0,0,0,0,NA
"Tiro Afeta",0.337,0,0,0,0,0,0,0,NA
"Tiyo",0.276,0,0,0,0,0,0,0,NA
"Tocha",0.354,11006,9902,12150,2248,10760,11253,492,4.57
"Toke Kutaye",0.348,0,0,0,0,0,0,0,NA
"Tole",0.389,0,0,0,0,0,0,0,NA
"Tsegede",0.37,0,0,0,0,0,0,0,NA
"Tselemt",0.217,0,0,0,0,0,0,0,NA
"Tselemti",0.194,0,0,0,0,0,0,0,NA
"Tulo",0.324,0,0,0,0,0,0,0,NA
"Ubadebretsehay",0.361,8363,7456,9212,1756,8133,8595,462,3.8
"Uraga",0.249,0,0,0,0,0,0,0,NA
"Wadera",0.378,3769,3119,4441,1322,3535,4009,474,2.79
"Wadla",0.416,0,0,0,0,0,0,0,NA
"Waliso",0.374,0,0,0,0,0,0,0,NA
"Walmara",0.414,0,0,0,0,0,0,0,NA
"Wama Hagalo",0.334,2890,2581,3253,672,2841,2939,98,6.86
"Wantawo",0.017,184,13,695,682,67,403,335,2.04
"Wara Jarso",0.422,2803,2406,3208,802,2697,2909,212,3.78
"Warder",0.375,0,0,0,0,0,0,0,NA
"Wayu Tuka",0.302,3003,2682,3313,631,2949,3058,109,5.79
"Wegde",0.466,0,0,0,0,0,0,0,NA
"Wegera",0.257,0,0,0,0,0,0,0,NA
"Welkait",0.28,0,0,0,0,0,0,0,NA
"Wemberma",0.343,1722,1500,1966,466,1662,1783,121,3.85
