"rank","LGA","cattle_at_risk","cumulative_percent","priority_tier"
419,"Onitsha North",195,99.4239721434826,"Lower Priority"
420,"Oguta",191,99.4321345680389,"Lower Priority"
421,"Zing",190,99.4402542573882,"Lower Priority"
422,"Ohafia",189,99.4483312115303,"Lower Priority"
423,"Orsu",189,99.4564081656724,"Lower Priority"
424,"Amuwo Odofin",188,99.4644423846075,"Lower Priority"
425,"Isokan",187,99.4724338683354,"Lower Priority"
426,"Mkpat Enin",187,99.4804253520633,"Lower Priority"
427,"Ilesha East",179,99.4880749541344,"Lower Priority"
428,"Oruk Anam",179,99.4957245562056,"Lower Priority"
429,"Oji-River",177,99.5032886878625,"Lower Priority"
430,"Essien Udim",174,99.5107246138981,"Lower Priority"
431,"Ilesha West",174,99.5181605399337,"Lower Priority"
432,"Boki",169,99.5253827899338,"Lower Priority"
433,"Oredo",168,99.5325623047268,"Lower Priority"
434,"Igueben",167,99.5396990843127,"Lower Priority"
435,"Oru East",165,99.5467503934844,"Lower Priority"
436,"Bende",163,99.5537162322419,"Lower Priority"
437,"Alimosho",161,99.5605966005852,"Lower Priority"
438,"Remo-North",160,99.5674342337214,"Lower Priority"
439,"Tureta",156,99.5741009260292,"Lower Priority"
440,"Ukwa East",154,99.5806821479228,"Lower Priority"
441,"Isa",153,99.5872206346093,"Lower Priority"
442,"Isiala Ngwa South",151,99.5936736508816,"Lower Priority"
443,"Gboyin",150,99.6000839319467,"Lower Priority"
444,"Akoko South-West",149,99.6064514778048,"Lower Priority"
445,"Bekwarra",148,99.6127762884558,"Lower Priority"
446,"Aguata",147,99.6190583638997,"Lower Priority"
447,"Akure North",147,99.6253404393436,"Lower Priority"
448,"Bomadi",147,99.6316225147875,"Lower Priority"
449,"Oyi",144,99.63777638461,"Lower Priority"
450,"Anaocha",143,99.6438875192255,"Lower Priority"
451,"Afikpo South",138,99.6497849778055,"Lower Priority"
452,"Sagbama",135,99.6555542307641,"Lower Priority"
453,"Akamkpa",134,99.6612807485157,"Lower Priority"
454,"Ekiti West",134,99.6670072662673,"Lower Priority"
455,"Obot Akara",134,99.6727337840188,"Lower Priority"
456,"Ukwa West",128,99.6782038905278,"Lower Priority"
457,"Ideato North",127,99.6836312618296,"Lower Priority"
458,"Ekiti East",124,99.6889304275102,"Lower Priority"
459,"Ondo East",124,99.6942295931907,"Lower Priority"
460,"Ini",123,99.6994860236642,"Lower Priority"
461,"Nnewi South",123,99.7047424541376,"Lower Priority"
462,"Owerri West",123,99.7099988846111,"Lower Priority"
463,"Enugu South",121,99.7151698446703,"Lower Priority"
464,"Ukanafun",121,99.7203408047296,"Lower Priority"
465,"Owerri Municipal",120,99.7254690295817,"Lower Priority"
466,"Okobo",113,99.7302981079842,"Lower Priority"
467,"Ado-Ekiti",111,99.7350417159724,"Lower Priority"
468,"Okigwe",110,99.7397425887535,"Lower Priority"
469,"Irepodun/Ifelodun",108,99.7443579911205,"Lower Priority"
470,"Biase",104,99.748802452659,"Lower Priority"
471,"Brass",104,99.7532469141975,"Lower Priority"
472,"Ogba/Egbema/Ndoni",104,99.7576913757361,"Lower Priority"
473,"Orolu",103,99.7620931020675,"Lower Priority"
474,"Akure South",102,99.7664520931918,"Lower Priority"
475,"Umuahia North",102,99.7708110843161,"Lower Priority"
476,"Oru West",101,99.7751273402334,"Lower Priority"
477,"Nsit Ubium",100,99.7794008609435,"Lower Priority"
478,"Odukpani",99,99.7836316464465,"Lower Priority"
479,"Ido-Osi",98,99.7878196967424,"Lower Priority"
480,"Orlu",98,99.7920077470383,"Lower Priority"
481,"Ibesikpo Asutan",97,99.7961530621272,"Lower Priority"
482,"Ife Central",97,99.800298377216,"Lower Priority"
483,"Itu",95,99.8043582218906,"Lower Priority"
484,"Ijero",94,99.8083753313581,"Lower Priority"
485,"Patani",92,99.8123069704114,"Lower Priority"
486,"Ibiono Ibom",91,99.8161958742576,"Lower Priority"
487,"Orumba South",91,99.8200847781038,"Lower Priority"
488,"Owerri North",90,99.823930946743,"Lower Priority"
489,"Ugwunagbo",90,99.8277771153821,"Lower Priority"
490,"Umuahia South",90,99.8316232840212,"Lower Priority"
491,"Aboh-Mbaise",88,99.8353839822461,"Lower Priority"
492,"Arochukwu",88,99.839144680471,"Lower Priority"
493,"Egor",88,99.8429053786959,"Lower Priority"
494,"Isiala Ngwa North",86,99.8465806065066,"Lower Priority"
495,"Njaba",86,99.8502558343173,"Lower Priority"
496,"Idemili South",84,99.8538455917138,"Lower Priority"
497,"Isiala Mbano",83,99.8573926139032,"Lower Priority"
498,"Ile-Oluji/Okeigbo",82,99.8608969008855,"Lower Priority"
499,"Ikeduru",81,99.8643584526607,"Lower Priority"
500,"Osisioma Ngwa",81,99.8678200044359,"Lower Priority"
501,"Lagos Island",78,99.8711533505898,"Lower Priority"
502,"Ehime-Mbano",76,99.8744012263295,"Lower Priority"
503,"Isuikwuato",76,99.8776491020692,"Lower Priority"
504,"Ife East",75,99.8808542426018,"Lower Priority"
505,"Ikere",75,99.8840593831344,"Lower Priority"
506,"Ogbia",75,99.887264523667,"Lower Priority"
507,"Obudu",74,99.8904269289925,"Lower Priority"
508,"Khana",72,99.8935038639038,"Lower Priority"
509,"Abak",69,99.8964525931937,"Lower Priority"
510,"Etinan",68,99.8993585872766,"Lower Priority"
511,"Oyigbo",68,99.9022645813595,"Lower Priority"
512,"Akoko South-East",67,99.9051278402353,"Lower Priority"
513,"Ikwuano",66,99.907948363904,"Lower Priority"
514,"Akpabuyo",65,99.9107261523655,"Lower Priority"
515,"Emure/Ise/Orun",64,99.91346120562,"Lower Priority"
516,"Nwangele",64,99.9161962588745,"Lower Priority"
517,"Etim Ekpo",62,99.9188458417148,"Lower Priority"
518,"Ezinihitte Mbaise",62,99.921495424555,"Lower Priority"
519,"Ifedayo",60,99.9240595369811,"Lower Priority"
520,"Yakurr",60,99.9266236494072,"Lower Priority"
521,"Ilejemeje",59,99.9291450266262,"Lower Priority"
522,"Esit Eket",58,99.931623668638,"Lower Priority"
523,"Ikono",56,99.9340168402357,"Lower Priority"
524,"Ideato South",55,99.9363672766263,"Lower Priority"
525,"Nsit Atai",54,99.9386749778097,"Lower Priority"
526,"Uruan",54,99.9409826789932,"Lower Priority"
527,"Yenagoa",53,99.9432476449696,"Lower Priority"
528,"Ahiazu-Mbaise",52,99.9454698757388,"Lower Priority"
529,"Efon",51,99.947649371301,"Lower Priority"
530,"Ifedore",48,99.9497006612419,"Lower Priority"
531,"Urue Offong",48,99.9517519511827,"Lower Priority"
532,"Degema",47,99.9537605059165,"Lower Priority"
533,"Emuoha",47,99.9557690606502,"Lower Priority"
534,"Etung",47,99.957777615384,"Lower Priority"
535,"Nembe",46,99.9597434349106,"Lower Priority"
536,"Eket",45,99.9616665192302,"Lower Priority"
537,"Ika",44,99.9635468683427,"Lower Priority"
538,"Ikwerre",44,99.9654272174551,"Lower Priority"
539,"Obowo",44,99.9673075665676,"Lower Priority"
540,"Abua/Odual",41,99.9690597100587,"Lower Priority"
541,"Ihitte/Uboma",40,99.9707691183428,"Lower Priority"
542,"Kolokuma/Opokuma",38,99.9723930562126,"Lower Priority"
543,"Oron",36,99.9739315236683,"Lower Priority"
544,"Ekiti South-West",35,99.9754272559168,"Lower Priority"
545,"Onna",35,99.9769229881653,"Lower Priority"
546,"Uyo",35,99.9784187204139,"Lower Priority"
547,"Ise/Orun",34,99.9798717174553,"Lower Priority"
548,"Moba",33,99.9812819792897,"Lower Priority"
549,"Ikot Ekpene",32,99.9826495059169,"Lower Priority"
550,"Calabar",31,99.983974297337,"Lower Priority"
551,"Eastern Obolo",31,99.9852990887572,"Lower Priority"
552,"Omumma",30,99.9865811449702,"Lower Priority"
553,"Akuku-Toru",29,99.9878204659762,"Lower Priority"
554,"Etche",28,99.989017051775,"Lower Priority"
555,"Ahoada West",27,99.9901709023667,"Lower Priority"
556,"Bonny",27,99.9913247529584,"Lower Priority"
557,"Eleme",26,99.9924358683431,"Lower Priority"
558,"Nsit Ibom",26,99.9935469837277,"Lower Priority"
559,"Obio/Akpor",23,99.994529893491,"Lower Priority"
560,"Port Harcourt",21,99.9954273328402,"Lower Priority"
561,"Tai",19,99.9962393017751,"Lower Priority"
562,"Okrika",17,99.9969658002958,"Lower Priority"
563,"Andoni",15,99.9976068284023,"Lower Priority"
564,"Ahoada East",14,99.9982051213018,"Lower Priority"
565,"Gokana",12,99.998717943787,"Lower Priority"
566,"Ogu/Bolo",12,99.9992307662722,"Lower Priority"
567,"Asari-Toru",9,99.9996153831361,"Lower Priority"
568,"Calabar South",9,100,"Lower Priority"
