"rank","Zone","cattle_at_risk","cumulative_percent","priority_tier"
128,"Dara",12055,85.9617017361935,"Lower Priority"
129,"Melka Soda",11993,86.2250168455364,"Lower Priority"
130,"Wama Hagalo",11710,86.4821184823582,"Lower Priority"
131,"Adola",11521,86.7350704855884,"Lower Priority"
132,"Geze Gofa",11483,86.9871881709535,"Lower Priority"
133,"Wenbera",11206,87.2332241181974,"Lower Priority"
134,"Nunu Kumba",11192,87.4789526851752,"Lower Priority"
135,"Jimma Horo",11141,87.7235615097553,"Lower Priority"
136,"Yirgachefe",10798,87.960639517817,"Lower Priority"
137,"Chwaka",10605,88.1934800693538,"Lower Priority"
138,"Kiremu",10192,88.4172529030419,"Lower Priority"
139,"Bita",10117,88.6393790567334,"Lower Priority"
140,"Maji",10075,88.8605830696267,"Lower Priority"
141,"Dita",9955,89.0791523945252,"Lower Priority"
142,"Bilo Nopha",9613,89.2902128586387,"Lower Priority"
143,"Aroresa",9603,89.5010537654192,"Lower Priority"
144,"Bilidigilu",9484,89.7092819399383,"Lower Priority"
145,"Yama Logi Welel",9479,89.917400335791,"Lower Priority"
146,"Dibat",9444,90.1247502809785,"Lower Priority"
147,"Saba Boru",9420,90.3315732885671,"Lower Priority"
148,"Debre Elias",9390,90.5377376241569,"Lower Priority"
149,"Jimma Arjo",9041,90.7362394088287,"Lower Priority"
150,"Kochere",8952,90.9327871332377,"Lower Priority"
151,"Yubdo",8874,91.1276223104501,"Lower Priority"
152,"Abe Dongoro",8828,91.3214475239312,"Lower Priority"
153,"Anfilo",8675,91.511913510219,"Lower Priority"
154,"Gaji",8510,91.6987568005139,"Lower Priority"
155,"Kercha",8509,91.8855781350756,"Lower Priority"
156,"Nole Kaba",8476,92.0716749304387,"Lower Priority"
157,"Dima",8459,92.2573984783359,"Lower Priority"
158,"Hurumu",8425,92.4423755313013,"Lower Priority"
159,"Bila Seyo",8412,92.6270671597339,"Lower Priority"
160,"Basketo",8047,92.8037449455158,"Lower Priority"
161,"Godere",8041,92.9802909968979,"Lower Priority"
162,"Becho",7911,93.1539828029523,"Lower Priority"
163,"Lalo Asabi",7889,93.3271915828744,"Lower Priority"
164,"Damot Weydie",7873,93.5000490710639,"Lower Priority"
165,"Harena Buluk",7459,93.6638168856715,"Lower Priority"
166,"Dorani",7204,93.8219859882901,"Lower Priority"
167,"Leka Dulecha",7143,93.9788157911781,"Lower Priority"
168,"Jawi",7114,94.1350088778008,"Lower Priority"
169,"Girja (Harenfema)",6728,94.2827270513736,"Lower Priority"
170,"Wayu Tuka",6695,94.4297206857478,"Lower Priority"
171,"Bulen",6651,94.5757482678573,"Lower Priority"
172,"Wara Jarso",6634,94.7214026025009,"Lower Priority"
173,"Hawa Galan",6497,94.8640490016838,"Lower Priority"
174,"Daramalo",6424,95.0050926323365,"Lower Priority"
175,"Alaba",6418,95.1460045285895,"Lower Priority"
176,"Dugda Dawa",6145,95.2809225096545,"Lower Priority"
177,"Shashemene Zuria",6125,95.4154013760536,"Lower Priority"
178,"Haro Limu",6124,95.5498582867195,"Lower Priority"
179,"Nefas Silk",5809,95.6773991413991,"Lower Priority"
180,"Gurafereda",5700,95.8025468211501,"Lower Priority"
181,"Halu",5605,95.9256087062386,"Lower Priority"
182,"Ginde Beret",5545,96.0473532473298,"Lower Priority"
183,"Jarte Jardega",5440,96.1667924364255,"Lower Priority"
184,"Sheka",5282,96.2827626196615,"Lower Priority"
185,"Abay Chomen",5277,96.398623024231,"Lower Priority"
186,"Yaso",5164,96.5120024309388,"Lower Priority"
187,"Guzamn",5132,96.6246792541813,"Lower Priority"
188,"Gimbi",5066,96.7359069990267,"Lower Priority"
189,"Sayo Nole",5033,96.8464102046735,"Lower Priority"
190,"Boji Dirmeji",4891,96.9537956961932,"Lower Priority"
191,"Getawa",4786,97.0588758357175,"Lower Priority"
192,"Nenesebo",4712,97.1623312509784,"Lower Priority"
193,"Dale Wabera",4600,97.2633276241108,"Lower Priority"
194,"Ibantu",4549,97.3632042548455,"Lower Priority"
195,"Aneded",4537,97.4628174167806,"Lower Priority"
196,"Abuna G/Beret",4357,97.5584785467237,"Lower Priority"
197,"Takusa",4330,97.6535468718679,"Lower Priority"
198,"Chencha",4265,97.7471880743483,"Lower Priority"
199,"Sirba Abay",4129,97.8378432971012,"Lower Priority"
200,"Kochere Gedeb",4035,97.926434680925,"Lower Priority"
201,"Wadera",3769,98.0091858396937,"Lower Priority"
202,"Haru",3505,98.086140684874,"Lower Priority"
203,"Tiro Afeta",3488,98.1627222825883,"Lower Priority"
204,"Kamashi",3450,98.2384695624376,"Lower Priority"
205,"Cheha",3429,98.3137557718878,"Lower Priority"
206,"Awabel",3310,98.3864292490766,"Lower Priority"
207,"Bero",3286,98.4585757886664,"Lower Priority"
208,"Meda Welabu",3063,98.5258261997326,"Lower Priority"
209,"Mengesh",3029,98.592330115867,"Lower Priority"
210,"Gelila",3014,98.658504696002,"Lower Priority"
211,"Agalometi",3004,98.7244597188041,"Lower Priority"
212,"Alfa",2923,98.7886363272098,"Lower Priority"
213,"Dolo Odo",2921,98.8527690241489,"Lower Priority"
214,"Meko",2713,98.9123349285637,"Lower Priority"
215,"Dila Zuria",2635,98.970188285782,"Lower Priority"
216,"Limu Kosa",2617,99.027646439801,"Lower Priority"
217,"Misha",2586,99.084423966088,"Lower Priority"
218,"Gechi",2541,99.1402134843771,"Lower Priority"
219,"Sale Nono",2505,99.1952125962677,"Lower Priority"
220,"Sherkole",2416,99.2482576478955,"Lower Priority"
221,"Abobo",2405,99.3010611864571,"Lower Priority"
222,"Ankasha",2165,99.3485953490292,"Lower Priority"
223,"Homa",2126,99.395273238003,"Lower Priority"
224,"Didu",2014,99.4394920848484,"Lower Priority"
225,"Gera",1951,99.4823277204965,"Lower Priority"
226,"Menge",1933,99.5247681529454,"Lower Priority"
227,"Amuru",1915,99.5668133821951,"Lower Priority"
228,"Goro Dola",1806,99.6064654365162,"Lower Priority"
229,"Jikawo",1792,99.6458101105713,"Lower Priority"
230,"Guba",1740,99.6840130864953,"Lower Priority"
231,"Wemberma",1722,99.7218208592201,"Lower Priority"
232,"Nono",1636,99.7577404388819,"Lower Priority"
233,"Guangua",1567,99.7921450729468,"Lower Priority"
234,"Yabelo",1544,99.8260447251461,"Lower Priority"
235,"Goba",1455,99.8579903170825,"Lower Priority"
236,"Anderacha",1273,99.8859399655602,"Lower Priority"
237,"Dangura",1243,99.9132309420393,"Lower Priority"
238,"Homosha",1009,99.9353842769285,"Lower Priority"
239,"Gog",765,99.9521804128951,"Lower Priority"
240,"Berbere",729,99.9681861424633,"Lower Priority"
241,"Quara",597,99.9812937152372,"Lower Priority"
242,"Adaba",380,99.9896368938873,"Lower Priority"
243,"Wantawo",220,99.994467155211,"Lower Priority"
244,"Jore",160,99.9979800725373,"Lower Priority"
245,"Akobo",82,99.9997804426671,"Lower Priority"
246,"Dolobay",10,100,"Lower Priority"
