"state","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Esit Eket",0.333,58,24,102,78,39,80,41,1.9
"Essien Udim",0.268,174,101,256,155,130,222,92,1.68
"Etche",0.324,28,8,54,46,15,44,29,1.59
"Ethiope East",0.51,424,159,689,530,259,586,328,1.62
"Ethiope West",0.535,550,233,856,623,353,738,385,1.62
"Eti-Osa",0.799,265,210,300,90,240,285,45,2
"Etim Ekpo",0.261,62,26,110,84,40,88,48,1.75
"Etinan",0.292,68,25,127,102,42,97,55,1.85
"Etsako Central",0.45,1621,1327,1929,602,1508,1735,227,2.65
"Etsako East",0.433,1764,1370,2197,827,1635,1894,259,3.19
"Etsako West",0.463,1293,1047,1554,507,1208,1378,170,2.98
"Etung",0.172,47,28,69,41,40,54,14,2.93
"Ewekoro",0.729,1067,854,1239,385,969,1155,185,2.08
"Ezeagu",0.341,910,746,1076,330,839,983,144,2.29
"Ezinihitte Mbaise",0.285,62,42,83,41,53,71,18,2.28
"Ezza North",0.368,695,489,902,413,623,768,145,2.85
"Ezza South",0.333,513,367,660,293,458,570,112,2.62
"Fakai",0.122,6007,3128,10314,7186,4431,7907,3476,2.07
"Faskari",0.147,8314,5888,11106,5219,7389,9309,1920,2.72
"Fika",0.294,17923,13367,22442,9075,16213,19705,3492,2.6
"Fufore",0.464,46196,27622,67255,39632,38233,54073,15840,2.5
"Funakaye",0.345,18428,13736,22958,9222,16387,20507,4120,2.24
"Fune",0.233,39731,28474,53050,24577,33310,46830,13521,1.82
"Funtua",0.158,3776,3002,4748,1746,3458,4112,654,2.67
"Gabasawa",0.229,3627,2458,4906,2448,3152,4137,984,2.49
"Gada",0.036,2359,163,8042,7879,1341,3846,2505,3.15
"Gagarawa",0.162,5414,3584,7520,3937,4468,6469,2001,1.97
"Gamawa",0.216,29782,19996,41386,21390,25006,35033,10027,2.13
"Ganjuwa",0.325,52293,44318,60049,15732,48529,56175,7645,2.06
"Ganye",0.122,6581,3644,10992,7348,5072,8328,3256,2.26
"Garki",0.197,10311,7157,13914,6757,8920,11819,2900,2.33
"Garko",0.241,2262,1737,2797,1061,2054,2479,425,2.5
"Garum Mallam",0.226,1013,772,1293,521,917,1113,196,2.66
"Gashaka",0.053,2818,1367,5254,3887,2018,3844,1826,2.13
"Gassol",0.15,23739,17885,31039,13154,20790,27188,6397,2.06
"Gaya",0.231,3785,2779,4814,2035,3350,4267,917,2.22
"Gbako",0.267,13484,10491,16612,6121,12258,14765,2507,2.44
"Gboko",0.281,3957,3271,4716,1445,3669,4256,588,2.46
"Gboyin",0.369,150,109,196,87,137,163,27,3.22
"Geidam",0.192,29988,5368,76206,70838,15784,49172,33389,2.12
"Gezawa",0.25,2605,1859,3417,1558,2239,2986,746,2.09
"Giade",0.244,6346,4445,8136,3691,5740,6983,1243,2.97
"Girie",0.321,16823,12456,21792,9336,14889,18834,3945,2.37
"Giwa",0.19,15364,12766,18345,5579,14193,16588,2395,2.33
"Gokana",0.472,12,0,31,31,7,18,11,2.82
"Gombi",0.39,11296,7292,16251,8959,9556,13093,3537,2.53
"Goronyo",0.061,4769,479,14137,13658,2780,7534,4754,2.87
"Gubio",0.607,58847,30011,83444,53433,46985,69947,22962,2.33
"Gudu",0.056,8440,1179,23868,22690,5057,13154,8097,2.8
"Gujba",0.3,27851,21382,35289,13907,24741,31119,6379,2.18
"Gulani",0.339,18681,14481,23384,8903,16802,20612,3811,2.34
"Guma",0.373,9471,7703,11375,3672,8684,10284,1600,2.3
"Gumel",0.147,1700,1044,2472,1428,1354,2094,740,1.93
"Gummi",0.094,9736,3785,17582,13797,7345,12612,5267,2.62
"Gurara",0.293,6873,5572,8246,2674,6322,7444,1122,2.38
"Guri",0.146,6092,2232,12272,10040,3868,9064,5196,1.93
"Gusau",0.126,12977,7324,19277,11953,10908,15301,4393,2.72
"Guyuk",0.233,5386,3520,7611,4090,4515,6509,1994,2.05
"Guzamala",0.877,85032,63003,94835,31832,78591,89879,11288,2.82
"Gwadabawa",0.039,1908,174,5767,5593,1145,2986,1841,3.04
"Gwagwalada",0.296,10336,8023,12742,4719,9524,11177,1652,2.86
"Gwale",0.194,0,0,0,0,0,0,0,NA
"Gwandu",0.077,2440,722,5259,4537,1656,3448,1793,2.53
"Gwaram",0.281,16642,13454,19773,6320,15312,18022,2710,2.33
"Gwarzo",0.184,2104,1648,2624,976,1913,2305,392,2.49
"Gwer East",0.357,5338,4141,6712,2571,4937,5749,812,3.17
"Gwer West",0.411,3338,2570,4176,1606,3070,3611,541,2.97
"Gwiwa",0.159,3594,2435,4924,2490,2797,4563,1766,1.41
"Gwoza",0.866,60031,51419,65556,14137,48129,66156,18027,0.78
"Hawul",0.295,16215,12436,20313,7877,14570,17936,3366,2.34
"Hong",0.586,46642,31334,61486,30151,40481,52453,11971,2.52
"Ibadan South-West",0.292,217,157,286,129,199,235,37,3.49
"Ibaji",0.405,6085,4766,7383,2618,5547,6658,1111,2.36
"Ibarapa Central",0.591,3200,2456,3846,1390,2925,3468,543,2.56
"Ibarapa East",0.497,5307,4271,6187,1916,4926,5687,761,2.52
"Ibarapa North",0.476,6528,5139,7752,2613,5978,7079,1101,2.37
"Ibeju-Lekki",0.786,316,252,361,109,283,344,61,1.79
"Ibesikpo Asutan",0.226,97,54,149,95,75,121,46,2.07
"Ibi",0.25,15180,12285,18012,5727,13751,16682,2931,1.95
"Ibiono Ibom",0.258,91,57,125,68,78,105,27,2.52
"Idah",0.39,396,300,496,196,363,430,67,2.93
"Idanre",0.518,406,324,489,165,377,434,57,2.89
"Ideato North",0.266,127,92,163,71,115,139,24,2.96
"Ideato South",0.273,55,39,72,33,50,60,10,3.3
"Idemili North",0.386,215,151,279,128,194,237,44,2.91
"Idemili South",0.279,84,56,110,54,76,92,16,3.38
"Ido",0.417,2481,2164,2805,641,2312,2653,341,1.88
"Ido-Osi",0.317,98,74,131,57,91,106,15,3.8
"Ife Central",0.406,97,75,120,45,90,105,15,3
"Ife East",0.327,75,56,98,42,68,82,14,3
"Ife North",0.402,1018,822,1222,400,942,1095,153,2.61
"Ife South",0.427,650,507,798,291,603,698,95,3.06
"Ifedayo",0.278,60,42,81,39,55,66,12,3.25
"Ifedore",0.41,48,38,58,20,44,52,7,2.86
"Ifelodun",0.347,15381,12586,18324,5738,14343,16444,2101,2.73
"Ifo",0.75,1300,1046,1501,455,1176,1409,233,1.95
"Igabi",0.238,26835,22939,31248,8310,25110,28621,3511,2.37
"Igalamela-Odolu",0.397,6418,4909,8074,3165,5880,6955,1076,2.94
"Igbo-Etiti",0.32,768,630,923,293,709,829,120,2.44
"Igbo-eze North",0.276,256,184,351,167,231,282,51,3.27
"Igbo-eze South",0.309,263,198,346,148,240,286,45,3.29
"Igueben",0.422,167,134,204,70,157,178,21,3.33
"Ihiala",0.387,631,447,811,364,569,693,124,2.94
"Ihitte/Uboma",0.265,40,27,53,26,35,44,9,2.89
"Ijebu East",0.669,1711,1391,1974,583,1589,1825,235,2.48
"Ijebu North",0.602,844,693,989,296,780,906,126,2.35
"Ijebu North-East",0.687,225,183,263,80,209,240,31,2.58
"Ijebu-Ode",0.737,212,170,244,74,196,226,30,2.47
"Ijero",0.283,94,67,128,61,85,103,18,3.39
"Ijumu",0.403,2468,1809,3250,1441,2261,2679,419,3.44
"Ika",0.242,44,21,73,52,30,60,30,1.73
"Ika North-East",0.42,590,438,741,303,541,639,99,3.06
"Ika South",0.493,557,390,717,327,492,620,129,2.53
"Ikara",0.216,10007,8203,11960,3757,9263,10783,1520,2.47
"Ikeduru",0.28,81,56,108,52,70,92,22,2.36
"Ikenne",0.688,257,210,297,87,237,276,40,2.17
"Ikere",0.401,75,62,91,29,70,80,11,2.64
"Ikole",0.398,697,543,884,341,641,755,114,2.99
"Ikom",0.199,208,140,288,148,182,235,53,2.79
"Ikono",0.215,56,36,78,42,48,65,17,2.47
"Ikorodu",0.805,411,328,465,137,377,440,63,2.17
"Ikot Abasi",0.454,213,57,437,380,124,308,183,2.08
"Ikot Ekpene",0.23,32,21,43,22,27,37,10,2.2
"Ikpoba-Okha",0.509,947,518,1394,876,687,1202,515,1.7
"Ikwerre",0.33,44,8,92,84,20,74,54,1.56
"Ikwo",0.275,674,528,825,297,613,738,124,2.4
"Ikwuano",0.267,66,49,84,35,60,73,13,2.69
"Ila",0.263,547,401,725,324,498,598,100,3.24
"Ilaje",0.6,484,192,736,544,306,651,345,1.58
"Ile-Oluji/Okeigbo",0.417,82,63,101,38,75,88,12,3.17
"Ilejemeje",0.329,59,45,78,33,54,63,9,3.67
"Ilesha East",0.353,179,149,215,66,169,190,21,3.14
"Ilesha West",0.295,174,133,221,88,159,189,30,2.93
"Illela",0.036,2036,152,6642,6490,1143,3345,2202,2.95
"Ilorin East",0.286,2984,2451,3570,1119,2771,3204,433,2.58
"Ilorin South",0.328,982,767,1211,444,916,1050,135,3.29
"Ilorin West",0.221,906,640,1193,553,774,1053,279,1.98
"Imeko-Afon",0.505,2926,2308,3494,1186,2651,3198,547,2.17
"Ingawa",0.185,4737,3245,6323,3078,4099,5427,1328,2.32
"Ini",0.239,123,85,163,78,109,138,29,2.69
"Ipokia",0.834,2266,1826,2561,735,2067,2426,358,2.05
"Irele",0.587,200,116,273,157,150,244,94,1.67
"Irepo",0.188,2327,1650,3155,1505,2018,2663,645,2.33
"Irepodun",0.323,2167,1802,2592,790,2000,2341,341,2.32
"Irepodun/Ifelodun",0.352,108,83,141,58,100,117,18,3.22
"Irewole",0.355,377,305,454,149,351,404,54,2.76
"Isa",0.061,5026,858,12602,11744,3290,7334,4044,2.9
"Ise/Orun",0.385,34,25,45,20,31,37,6,3.33
"Iseyin",0.361,6407,5011,7841,2830,5794,7038,1244,2.27
"Ishielu",0.325,1455,1216,1695,479,1354,1560,207,2.31
"Isi-Uzo",0.345,1238,1001,1508,507,1149,1329,180,2.82
"Isiala Mbano",0.262,83,59,110,51,75,92,16,3.19
"Isiala Ngwa North",0.252,86,61,112,51,74,98,25,2.04
"Isiala Ngwa South",0.236,151,86,221,135,113,193,80,1.69
"Isin",0.321,1553,1244,1908,664,1449,1659,210,3.16
"Isokan",0.401,187,148,227,79,173,202,29,2.72
"Isoko North",0.445,285,96,497,401,161,415,254,1.58
"Isoko South",0.477,642,177,1108,931,349,939,590,1.58
"Isuikwuato",0.246,76,55,98,43,69,84,16,2.69
"Itas/Gadau",0.239,16795,10087,23608,13522,14662,19096,4434,3.05
"Itesiwaju",0.253,4314,3230,5538,2308,3810,4850,1041,2.22
"Itu",0.238,95,62,130,68,81,110,29,2.34
"Ivo",0.344,615,469,748,279,563,668,105,2.66
"Iwajowa",0.305,4612,3519,5832,2313,4107,5142,1035,2.23
"Iwo",0.309,728,592,876,284,662,797,135,2.1
"Izzi",0.32,1999,1656,2360,704,1859,2144,286,2.46
"Jaba",0.344,5611,4436,6762,2326,5242,5989,747,3.11
"Jada",0.305,11824,6045,19628,13583,9256,14588,5332,2.55
"Jahun",0.231,11462,7299,16001,8702,9963,13089,3126,2.78
"Jakusko",0.164,27039,12177,48165,35988,18299,38019,19720,1.82
"Jalingo",0.127,1061,680,1540,860,890,1252,362,2.38
"Jama'are",0.253,4736,2960,6445,3485,4195,5311,1116,3.12
"Jega",0.101,2837,1055,5779,4725,1870,4089,2219,2.13
"Jema'a",0.417,18272,14650,21659,7009,17121,19436,2315,3.03
"Jere",0.777,26276,21599,30138,8540,24709,27687,2978,2.87
"Jibia",0.096,3530,1403,6096,4693,2635,4614,1979,2.37
"Jos East",0.354,11741,9362,14508,5147,10787,12722,1934,2.66
"Jos North",0.244,8102,6091,9992,3901,7471,8760,1289,3.03
"Jos South",0.24,8360,6534,10217,3683,7772,8970,1197,3.08
"Kabba/Bunu",0.399,10834,8188,13862,5674,9983,11705,1722,3.3
"Kabo",0.221,1532,1188,1905,717,1386,1685,299,2.4
"Kachia",0.352,37338,31710,42842,11132,35109,39617,4509,2.47
"Kaduna North",0.221,1659,1139,2291,1152,1481,1847,365,3.16
"Kafin Hausa",0.209,10815,7367,15148,7782,9332,12419,3087,2.52
"Kafur",0.177,6792,5500,8356,2856,6233,7379,1146,2.49
"Kaga",0.288,21920,13601,32027,18426,17688,26568,8880,2.08
"Kagarko",0.335,15281,12410,17990,5580,14210,16374,2164,2.58
"Kaiama",0.204,18199,13662,23553,9891,16146,20386,4240,2.33
"Kaita",0.11,5797,2789,9088,6299,3323,9396,6072,1.04
"Kajola",0.253,2093,1526,2751,1225,1847,2355,508,2.41
"Kajuru",0.328,20795,18113,23646,5533,19822,21787,1965,2.82
"Kala/Balge",0.99,16772,16212,16922,710,16376,16909,532,1.33
"Kalgo",0.105,2832,946,6405,5460,1687,4396,2709,2.02
"Kaltungo",0.273,11060,8265,13728,5463,10051,12109,2058,2.65
"Kanam",0.4,38166,32564,43455,10891,35692,40678,4986,2.18
"Kankara",0.15,6371,4502,8257,3755,5657,7139,1481,2.54
"Kanke",0.377,20479,17150,24054,6905,18906,22094,3188,2.17
"Kankia",0.149,4467,3029,5936,2907,3897,5087,1190,2.44
"Karasuwa",0.119,8956,1691,23465,21774,4469,15529,11061,1.97
"Karaye",0.232,2249,1724,2833,1110,2015,2496,481,2.31
"Karim Lamido",0.25,36981,30285,44459,14174,33873,40287,6413,2.21
"Karu",0.379,16883,14397,19357,4960,15836,17954,2117,2.34
"Katagum",0.246,22172,13764,30397,16633,19470,25078,5608,2.97
