"Latitude","Longitude","value","variable"
7.06448140703518,4.52580904522613,0.163200965417527,"Mean"
7.13425778894472,4.52580904522613,0.202621733861804,"Mean"
7.20403417085427,4.52580904522613,0.315131092394778,"Mean"
7.27381055276382,4.52580904522613,0.221516497205793,"Mean"
7.34358693467337,4.52580904522613,0.187005909227562,"Mean"
7.41336331658291,4.52580904522613,0.228370558331352,"Mean"
7.48313969849246,4.52580904522613,0.189910086569892,"Mean"
7.55291608040201,4.52580904522613,0.167348994984869,"Mean"
7.62269246231156,4.52580904522613,0.180552849870172,"Mean"
7.6924688442211,4.52580904522613,0.211146326033795,"Mean"
7.76224522613065,4.52580904522613,0.187474616170927,"Mean"
5.66895376884422,4.58422763819095,0.297105272245159,"Mean"
5.73873015075377,4.58422763819095,0.299579559754519,"Mean"
5.80850653266332,4.58422763819095,0.318931913306176,"Mean"
