"state","mean_value","cattle_mean","lower_value","cattle_lower","upper_value","cattle_upper"
"Malam Maduri",0.158648226254216,4471,0.117384922866723,3313,0.207360305125325,5836
"Malumfashi",0.137135956081018,2962,0.124440305523151,2689,0.150609947216855,3252
"Mangu",0.288372990769998,28275,0.264138826950755,25824,0.313556994118591,30831
"Mani",0.0871932077005331,2674,0.065220500669306,1985,0.114090712840977,3522
"Maradun",0.0450271498083374,3787,0.0281373243079227,2370,0.0681035992343439,5721
"Mariga",0.130028489746778,21461,0.10930966411536,18023,0.153085468954204,25289
"Marte",0.973009513135113,72690,0.952993260117236,71208,0.985968944215211,73648
"Maru",0.102260156264303,25929,0.0831593770394499,21030,0.124292130739564,31595
"Mashegu",0.155134877608686,24278,0.136016612282706,21317,0.175827107073251,27484
"Mashi",0.0749070140463921,3255,0.0398167328460915,1714,0.128070450741668,5601
"Matazu",0.106220766480965,1692,0.0921624439662697,1468,0.121610886238255,1938
"Mayo-Belwa",0.102124509820446,5671,0.0842127158588204,4668,0.122352397277267,6805
"Mbatoli",0.229498925754859,209,0.196920575783463,179,0.263520818429282,240
"Mbo",0.140627766784083,0,0.0980449137723983,0,0.191194648711514,0
"Michika",0.74549605906254,11886,0.632695350655291,10079,0.838902007363012,13388
"Miga",0.163649378692414,3901,0.143968844186728,3431,0.184836888250321,4407
"Mikang",0.357155003450445,7606,0.33200754961717,7066,0.382884526524462,8158
"Minjibir",0.173231135053325,1734,0.150331262622446,1505,0.198072000550002,1983
"Misau",0.186536458049468,9031,0.166664310730815,8068,0.207701220916941,10057
"Mkpat Enin",0.132906332152465,75,0.0621101763966681,35,0.234911012450241,133
"Moba",0.364130403056104,37,0.337664451307754,35,0.391219196022915,40
"Mobbar",0.711282562755022,108696,0.555481561014354,84574,0.839149716226406,128615
"Mokwa",0.221839114307471,18345,0.193300638191612,16054,0.252570730816943,20808
"Monguno",0.940198684905927,58049,0.908220146385129,56048,0.963401173266002,59502
"Mopa-Muro",0.417412466893371,2476,0.392259320974948,2328,0.442887693563574,2626
"Moro",0.238364373045221,10813,0.219624290105595,9963,0.257893497848331,11699
"Mubi North",0.696972584376609,17059,0.572563700198473,14011,0.80343262206533,19668
"Musawa",0.124099566680809,3435,0.110522261408103,3059,0.138698614823333,3840
"Muya",0.274885070162005,10242,0.240559571438713,9254,0.309975738209216,11280
"Nafada",0.239914722381947,15607,0.217538760270176,14150,0.263397303458011,17136
"Nangere",0.18881509135773,5873,0.166218523906795,5164,0.213025006290295,6632
"Nasarawa",0.426134706850291,41378,0.399853458912758,38823,0.45262489683896,43954
"Nasarawa Eggon",0.392317632769711,9563,0.365656752794257,8913,0.419462917924823,10226
"Ndokwa East",0.28032732652312,874,0.180341795450454,568,0.399051850598775,1232
"Ndokwa West",0.290363703795831,457,0.195970098116119,314,0.397611980169819,616
"Nembe",0.175141754579423,26,0.0155113366797013,2,0.551803534062632,82
"Ngala",0.988207990766653,43147,0.970555639670785,42377,0.996554049040911,43514
"Nganzai",0.844618983582598,75719,0.778800414756648,69820,0.896870560346214,80400
"Ngaski",0.154391065343301,6044,0.11786762838095,4969,0.195488933203009,7265
"Ngor-Okpala",0.195168101119347,182,0.123229182584838,119,0.281428014744214,258
"Nguru",0.113668965216038,5752,0.0577107312291654,2902,0.195763963777181,9954
"Ningi",0.274519828029249,48831,0.251488779856524,44721,0.298476676194841,53109
"Njaba",0.218619225457982,61,0.197205409775506,55,0.241189856719163,68
"Njikoka",0.28734781034546,286,0.265849283555588,265,0.309568477692521,308
"Nkanu East",0.269500034622768,935,0.251355584427891,871,0.288255250757404,1001
"Nkanu West",0.282822718780892,336,0.263524118510797,313,0.30273055204778,359
"Nnewi North",0.262790325523923,277,0.242676506902736,256,0.283686700811412,299
"Nnewi South",0.234339617790772,100,0.217553183481516,93,0.251767573485139,107
"Nsit Atai",0.139520491364017,28,0.0991845885328287,20,0.186638601208374,37
"Nsit Ibom",0.128312490358956,14,0.0865218008807998,9,0.177724935752892,19
"Nsit Ubium",0.121575445618173,45,0.073078067116136,27,0.182649638270378,68
"Nsukka",0.356950247971655,1007,0.33753874938041,953,0.376715409865851,1062
"Numan",0.119292382228247,2729,0.1019049418708,2330,0.138483041045342,3170
"Nwangele",0.208551009855069,49,0.192064688803223,45,0.225782158569283,53
"Obafemi-Owode",0.539524231948124,1245,0.476273324753064,1096,0.601572901558817,1391
"Obanliku",0.137045335900696,209,0.117260823604562,177,0.158942219281688,244
"Obi",0.340624725101366,10305,0.317967896913551,9601,0.363823883896737,11025
"Obi Ngwa",0.160388019654348,141,0.104930801302982,91,0.226443385215102,201
"Obio/Akpor",0.222958236118892,17,0.0726121990936461,5,0.424590835032558,32
"Obokun",0.313118998565751,564,0.288827933891878,520,0.338195246152203,609
"Obot Akara",0.183354528457176,95,0.149963596984461,77,0.219781902189808,115
"Obowo",0.177438541326294,33,0.160926307359238,30,0.19489403850303,37
"Obubra",0.199332968931451,287,0.178720473190756,258,0.221211202302962,317
"Obudu",0.156866587816694,68,0.140004564720404,61,0.174909400816733,75
"Odeda",0.476622115946822,1919,0.432879402504864,1737,0.520582641393381,2100
"Odigbo",0.488984469325344,373,0.432368725720829,330,0.544597508884525,416
"Odo-Otin",0.293579143232656,310,0.271595501015696,287,0.31628720484783,334
"Odogbolu",0.603027179485845,730,0.534918630253296,648,0.668221632165762,808
"Odukpani",0.150849407714525,63,0.129688695233773,54,0.173964848210505,73
"Offa",0.24832746474844,343,0.23274032285376,322,0.264411165416214,365
"Ofu",0.382735419065647,5706,0.360003168014641,5371,0.405823393065327,6047
"Ogba/Egbema/Ndoni",0.221310235384164,75,0.113859996963595,43,0.359058047783477,115
"Ogbadibo",0.316010383461886,739,0.296815609207488,694,0.335688522303951,785
"Ogbaru",0.230704396791135,191,0.194390862457244,164,0.269472913855829,219
"Ogbia",0.179579878058346,33,0.02309334620745,4,0.51279419034606,94
"Ogbomosho North",0.22076590958249,944,0.2028591124977,867,0.239474202756208,1024
"Ogo Oluwa",0.240702218086967,1134,0.219594467171471,1036,0.262785660385889,1237
"Ogoja",0.235364506071044,276,0.215826379743308,254,0.255789685523974,300
"Ogori/Magongo",0.519126128742002,353,0.492794513832233,335,0.545383884876238,371
"Ogu/Bolo",0.138658791426978,5,0.0393582572350804,1,0.310845114517773,11
"Ogun Waterside",0.545417313000186,523,0.409185583219471,394,0.669597506890593,640
"Oguta",0.231015686791043,152,0.174669847993591,116,0.291902947209154,190
"Ohafia",0.190661700442514,149,0.172184641473624,135,0.210217463313478,164
"Ohaji/Egbema",0.225099515571833,290,0.130621424919203,172,0.34071030092029,432
"Ohaozara",0.249018563597617,487,0.226561188974774,443,0.272557937622477,533
"Ohaukwu",0.272101714039414,951,0.253174958307144,884,0.291679032173557,1020
"Ohimini",0.405350835488228,1129,0.383447961083111,1068,0.427537615417754,1191
"Oji-River",0.255190107324879,161,0.236291504387627,149,0.274782211831956,173
"Ojo",0.654195531249345,255,0.540825930035739,211,0.755685216890806,295
"Oju",0.320745820764202,1757,0.300066543636495,1643,0.341960800097181,1872
"Oke-Ero",0.366702305517587,1215,0.341952923460326,1135,0.391914549043885,1296
"Okehi",0.477810210306143,3973,0.448820287646891,3732,0.50688093443944,4216
"Okene",0.495630296485951,2024,0.465059626083806,1898,0.526168635029846,2149
"Okigwe",0.214123250889842,92,0.197148307650187,85,0.231864972886123,100
"Okitipupa",0.456609177657636,160,0.35039265449453,121,0.561678420764209,199
"Okobo",0.141555001405961,54,0.0994762499216762,38,0.191494769776685,73
"Okpe",0.280081318604022,276,0.10390789849494,102,0.515752719176217,509
"Okpokwu",0.343753777369338,1246,0.323855974441874,1174,0.364067820137202,1320
"Okrika",0.13430662933823,7,0.0331500194110241,2,0.320899517817091,17
"Ola Oluwa",0.261069483322868,473,0.236159830952539,427,0.287125524579709,521
"Olamaboro",0.340453827610534,3623,0.321230486041845,3420,0.360086199638082,3829
"Olorunsogo",0.216704357683503,2112,0.191542255460851,1875,0.243599129400688,2366
"Oluyole",0.419095387585942,1121,0.385639764832483,1034,0.453004320275353,1210
"Omala",0.407683543543245,6317,0.382127607540563,5923,0.433627981827312,6717
"Omumma",0.172017905274023,18,0.0842564169483563,9,0.289325035372901,31
"Ona Ara",0.387527198766032,221,0.360087450040018,206,0.415481572728643,237
"Ondo East",0.420938920563677,111,0.393195149416646,103,0.449051891280938,118
"Ondo West",0.454534357838654,219,0.424933040442841,205,0.484340595115539,233
"Onicha",0.263375722264693,531,0.240363209541781,484,0.287398672981843,579
"Onitsha North",0.271205392196634,176,0.24883370784213,162,0.294503554965598,191
"Onna",0.118871577948367,14,0.0568725481730105,7,0.206143085381054,24
"Opobo/Nkoro",0.127911124749629,1,0.0349932614215363,0,0.293419826034354,3
"Oredo",0.339022600794794,108,0.202355909134887,67,0.490028186383486,154
"Orelope",0.178059576665411,1682,0.154015669364021,1456,0.204133510758348,1927
"Orhionmwon",0.352165964837705,1121,0.248501764058136,773,0.463516313509732,1501
"Ori-Ire",0.253380730071937,5962,0.231149778368671,5440,0.276597834375406,6508
"Oriade",0.36251785345003,517,0.337672257145779,481,0.38792073369304,554
"Orlu",0.229478037260575,77,0.212335598496464,72,0.247316746727243,83
"Orolu",0.248218430690834,106,0.227768319789816,97,0.269527093431198,115
"Oron",0.120262174730627,17,0.0902412502943777,13,0.154530247965159,22
"Orsu",0.270941796414188,150,0.247111960816917,137,0.295792769208032,164
"Oru East",0.23512828699197,128,0.21196918561346,116,0.259069991274618,140
"Oru West",0.24318179267543,75,0.201833039690355,62,0.286460745484288,88
"Oruk Anam",0.157214946420573,73,0.0749830103731145,35,0.271390581432289,127
"Orumba North",0.260416308517583,339,0.241193614863467,314,0.280335520168833,364
"Orumba South",0.259714705933618,74,0.239646540127124,68,0.280568557130401,80
"Ose",0.460456142134385,355,0.43264409053783,333,0.488454300715245,376
"Oshimili North",0.349996240670204,353,0.324781901364214,328,0.375823865312006,379
"Oshimili South",0.302246108380849,374,0.277079166300248,342,0.328313108930941,406
"Oshodi/Isolo",0.595874164678916,0,0.492977166645362,0,0.692867264407954,0
"Osisioma Ngwa",0.155301377621776,51,0.0909101897914481,30,0.235811672964431,78
"Otukpo",0.391462168571015,2778,0.370198482405053,2631,0.413030443329993,2927
"Ovia North-East",0.383128603253076,816,0.300980703302474,627,0.473845081546795,1029
"Ovia South-West",0.389413083033038,627,0.26622336346579,459,0.522631864825432,807
"Owan East",0.45470102208524,1350,0.427787516469681,1270,0.481774884654669,1431
"Owan West",0.412567682415123,358,0.38746344141153,337,0.438017510699162,380
"Owerri Municipal",0.242652620079987,87,0.180941311996791,65,0.30953470626812,111
"Owerri North",0.21882308773346,61,0.15938408741873,45,0.285041534074726,79
"Owerri West",0.266405834639714,88,0.19473977577965,64,0.344267625312207,113
"Owo",0.482644492522713,253,0.452495257885666,237,0.512839368357547,268
"Oye",0.422806853214683,313,0.388822937813518,288,0.45729878384065,339
"Oyi",0.300767060889695,124,0.282091952272512,116,0.319948245791456,132
"Oyigbo",0.157449582033282,32,0.0603629827926969,12,0.303572406661022,61
"Oyo East",0.29135246957924,258,0.26251492025793,233,0.321460765527607,285
"Oyo West",0.267116219470352,1574,0.233014595253391,1370,0.303361273101472,1791
"Oyun",0.29692037808949,1580,0.276513510832892,1471,0.317940348548874,1692
"Paikoro",0.235872805366488,12172,0.215393119397822,11112,0.257302407812693,13281
"Pankshin",0.340982351031492,22359,0.315572378721045,20635,0.367067684701898,24135
"Patani",0.20538133290396,40,0.0421879532355292,8,0.494794224016118,96
"Pategi",0.323284936376893,14328,0.298989243879287,13204,0.348334743154243,15491
"Port Harcourt",0.297328137977131,18,0.0804084764078928,5,0.576105113199469,35
"Potiskum",0.171268658511357,3922,0.150784925831147,3450,0.193264822375831,4429
"Qua'an Pan",0.365668541005266,19911,0.338926552939667,18443,0.393033335561806,21415
"Rabah",0.0273424554049394,2762,0.0147814126953419,1488,0.0461967452963722,4678
"Rafi",0.173393963535838,16097,0.1506913008744,13986,0.197996151692586,18385
"Rano",0.292121828664545,3223,0.249756983666449,2768,0.336337115403731,3698
"Remo-North",0.497545207042066,134,0.442370792936734,119,0.552751304698333,149
"Rijau",0.108892937102351,9998,0.0838898036143541,7707,0.138374557303958,12698
"Rimi",0.0758835441137353,935,0.0603169791072812,743,0.0939748750303956,1159
"Rimin Gado",0.17830723853884,850,0.159437685635973,760,0.198418682969102,945
"Ringim",0.166600690757808,5290,0.144106780396046,4576,0.191082495372422,6067
"Riyom",0.299769406414958,12895,0.27259678332651,11698,0.328037923378559,14144
"Rogo",0.193905133855916,4964,0.173971858090553,4479,0.214993180677137,5476
"Roni",0.136023854968472,1335,0.11584042369661,1137,0.158278579757103,1554
"Sabon Birni",0.0201249568386466,1256,0.0102773575976985,666,0.0354182469072363,2158
"Sabon Gari",0.135255819342009,1212,0.124243672501113,1113,0.146866893810343,1316
"Sabuwa",0.151872301233692,4572,0.137514423916183,4142,0.167102503195858,5028
"Safana",0.0904665820771695,4159,0.0701618660710759,3226,0.114444337433584,5261
"Sagbama",0.202684595974487,63,0.0481381340807881,16,0.472057361604486,141
"Sakaba",0.0853057436728088,4238,0.0692590959419418,3437,0.103678385266653,5156
"Saki East",0.172845407952166,3860,0.148495067251395,3315,0.199403448831387,4454
"Saki West",0.15935672212958,4289,0.131936482582236,3564,0.189946309293604,5095
"Sandamu",0.109762809713025,1381,0.0581363354101824,726,0.186074544681931,2353
"Sanga",0.390393028306018,12199,0.363910686226823,11364,0.417355506518967,13050
"Sapele",0.295241976526565,202,0.120516679404368,86,0.518420813369665,349
"Sardauna",0.0501990854142191,5126,0.0268512863786876,2671,0.0859957354967553,8960
"Shagamu",0.614472250625269,1047,0.537530520741076,915,0.687344915065548,1171
"Shagari",0.044730635922195,2367,0.0282454486105553,1491,0.0670991165799462,3558
"Shanga",0.114183980473335,5429,0.0804946291997163,3821,0.155985011102088,7428
"Shani",0.214944374597315,6826,0.192457705221446,6103,0.238777293533973,7593
"Shanono",0.154792208100553,3084,0.138912267147434,2768,0.171727204961952,3422
"Shelleng",0.150476454927627,6843,0.13114925295468,5957,0.171455817023992,7805
"Shendam",0.295260069653922,19829,0.269649443215372,18099,0.321908866424829,21630
"Shinkafi",0.0361970887175164,1369,0.0221771942067288,839,0.0556174378055182,2104
"Shira",0.168473951513382,6249,0.149505956931434,5541,0.1888179415212,7009
"Shiroro",0.206997198033924,30307,0.182947493522953,26786,0.232678966106199,34067
"Shomgom",0.187240546546795,6472,0.167659406024775,5797,0.208053269249291,7189
"Shomolu",0.427897695009627,0,0.325078130126431,0,0.53574405569701,0
"Silame",0.0314510005573143,863,0.0185860299131751,510,0.0496977216608837,1366
"Soba",0.20097243527525,16768,0.188190172027677,15700,0.214252414238879,17878
"Sokoto South",0.0172158390571608,52,0.00959652025093894,29,0.028472986573979,86
"Song",0.396788115643217,39356,0.335186123810687,33243,0.456307401905611,45310
"Southern Ijaw",0.217071400644921,107,0.021692865770735,9,0.629175238119954,326
"Sule Tankarkar",0.149791827163515,8521,0.119393983758835,6766,0.18463278384309,10536
"Suleja",0.251748782392386,1102,0.232772616247998,1018,0.271451297608127,1189
"Sumaila",0.247982250382665,8347,0.225550579697573,7589,0.271468186377533,9141
